AlerteID,DateCreated,Partner,OCHA_village_v2,Prefecture,SousPrefecture,Commune,Latitude,Longitude,Nb_localites_affectes,Nature_choc,Pop_affectee_menages,Pop_affectee_individus,Pop_affectee_Deplaces,Pop_affectee_Retours,Pop_affectee_Communaute_hote,Pop_affectee_Autre,startDate,endDate,year
ACT_ALI_20200213,18.02.2020,ACTED,Alindao,Basse-Kotto,Alindao,Alindao,5.040924,21.212063,1,Autre,152,760,Oui,Non,Non,Non,18.02.2020,18.02.2020,2020
ACT_NZA_20200205,10.02.2020,ACTED,Nzako,Mbomou,Bakouma,Bakouma,6.1376,22.8643,1,Violences,10,40,Oui,Non,Non,Non,10.02.2020,10.02.2020,2020
ACF_DEK_20200207,10.02.2020,ACF,Kamagbou 1,Kemo,Ndjoukou,Galabadja,5.173965,19.647547,8,Violences,600,3000,Oui,Non,Non,Non,10.02.2020,10.02.2020,2020
ACF_BOZ_20200206,07.02.2020,ACF,Bozoum,Ouham Pende,Bozoum,Bozoum,6.3186,16.370899,1,Autre,233,1165,Non,Oui,Non,Oui,07.02.2020,07.02.2020,2020
ACT_BRI_20200127,03.02.2020,ACTED,Daba 1,Haute-Kotto,Bria,Daba Nydou,6.36436,22.411448,1,Violences,2600,13000,Oui,Non,Oui,Non,03.02.2020,03.02.2020,2020
ACF_LAD_20200120,03.02.2020,ACF,Lady,Ouham,Bouca,Lady Gbawi,7.036628,18.347197,1,Violences,1350,6500,Oui,Non,Oui,Non,03.02.2020,03.02.2020,2020
ACF_BEM_20200127,03.02.2020,ACF,Bembor 3,Ouham Pende,Paoua,Bah-Bessar,7.5263,16.2745,2,Violences,150,750,Non,Non,Oui,Non,03.02.2020,03.02.2020,2020
ACF_BEN_20200108,03.02.2020,ACF,Benamkor,Ouham Pende,Paoua,Bah-Bessar,7.4435,16.2696,4,Autre,250,1250,Oui,Non,Non,Non,03.02.2020,03.02.2020,2020
ACT_BIR_20200121,30.01.2020,ACTED,Birao,Vakaga,Birao,Ridina,10.287236,22.786673,7,Violences,1000,5000,Non,Non,Oui,Non,30.01.2020,30.01.2020,2020
ACT_BAM_20200123,30.01.2020,ACTED,Bambari,Ouaka,Bambari,Bambari,5.7648,20.6542,1,Autre,200,,Oui,Non,Non,Non,30.01.2020,30.01.2020,2020
ACT_ALI_20200111,13.01.2020,ACTED,Alindao,Basse-Kotto,Alindao,Alindao,5.040924,21.212063,1,Violences,,,Oui,Non,Oui,Non,13.01.2020,13.01.2020,2020
ACF_GBO_20191230,10.01.2020,ACF,Ndjoukou,Kemo,Ndjoukou,Galabadja,5.134639,19.408579,5,Violences,400,2000,Oui,Non,Oui,Non,10.01.2020,10.01.2020,2020
ACF_BED_20191223,10.01.2020,ACF,Mbimbi,Kemo,Dekoa,Tilo,6.272859,19.276253,4,Violences,350,2250,Oui,Non,Non,Non,10.01.2020,10.01.2020,2020
SOL_KAK_20191218,06.01.2020,SI,Kako,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.714396,19.326345,3,Violences,500,2000,Oui,Non,Non,Non,06.01.2020,06.01.2020,2020
SOL_AKO_20190806,06.01.2020,SI,Akoursoulbak,Bamingui-Bangoran,Ndele,Dar El Kouti,8.9904,20.7297,3,Autre,1704,7129,Non,Non,Non,Oui,06.01.2020,06.01.2020,2020
ACT_MBR_20191226,30.12.2019,ACTED,Kopia,Ouaka,Bambari,Haute Baidou,5.8156,21.3585,31,Autre,3026,15145,Non,Oui,Non,Non,30.12.2019,30.12.2019,2019
ACT_YAL_20191209,20.12.2019,ACTED,Yalinga,Haute-Kotto,Yalinga,Yalinga,6.509434,23.254229,1,Autre,1600,8000,Non,Oui,Oui,Non,20.12.2019,20.12.2019,2019
ACT_BAM_20191204,17.12.2019,ACTED,Bambouti,Haut-Mbomou,Bambouti,Lili,5.401,27.2052,2,Violences,162,807,Oui,Non,Non,Non,17.12.2019,17.12.2019,2019
ACF_OUM_20191105,12.12.2019,ACF,Oumba,Ombella M'Poko,Damara,Damara,4.8632,19.0562,23,Catastrophe naturelle,2230,11150,Non,Non,Oui,Non,12.12.2019,12.12.2019,2019
ACF_DEK_20191129,04.12.2019,ACF,Dekoa,Kemo,Dekoa,Dekoa,6.3202,19.078199,6,Autre,1230,6150,Non,Oui,Oui,Non,04.12.2019,04.12.2019,2019
ACF_BET_20191126,04.12.2019,ACF,Betoko,Ouham Pende,Paoua,Mia-Pende,7.628637,16.6367,11,Autre,1353,6679,Non,Oui,Non,Non,04.12.2019,04.12.2019,2019
ACT_DEM_20191116,03.12.2019,ACTED,Dembia,Mbomou,Rafai,Rafai,5.9557,25.0786,2,Autre,259,1292,Oui,Non,Non,Non,03.12.2019,03.12.2019,2019
SOL_NZI_20191030,25.11.2019,SI,Zinga,Lobaye,Mongoumba,Mongoumba,3.7138,18.581499,13,Catastrophe naturelle,1175,6634,Non,Non,Oui,Non,25.11.2019,25.11.2019,2019
ACF_NDO_20191111,15.11.2019,ACF,Ndoumbou,Ouham,Bouca,Ouham Fafa,6.827492,17.97332,3,Catastrophe naturelle,698,3490,Non,Non,Oui,Non,15.11.2019,15.11.2019,2019
SOL_KAB_20191030,14.11.2019,SI,Kabo,Ouham,Kabo,Sido,7.689,18.622999,7,Catastrophe naturelle,725,3825,Non,Non,Oui,Non,14.11.2019,14.11.2019,2019
ACT_MOB_20191025,29.10.2019,ACTED,Mobaye,Basse-Kotto,Mobaye,Mobaye,4.325058,21.179085,3,Catastrophe naturelle,,,Non,Non,Oui,Non,29.10.2019,29.10.2019,2019
ACT_BRI_20191018,29.10.2019,ACTED,Bria,Haute-Kotto,Bria,Samba-Boungou,6.5374,21.9914,1,Violences,106,530,Non,Non,Oui,Non,29.10.2019,29.10.2019,2019
ACT_BEM_20191022,29.10.2019,ACTED,Bema,Mbomou,Ouango,Ngbandinga,4.142,22.4422,5,Catastrophe naturelle,3500,17500,Non,Non,Oui,Non,29.10.2019,29.10.2019,2019
ACT_BIR_20190904,10.10.2019,ACTED,Birao,Vakaga,Birao,Ridina,10.287236,22.786673,1,Violences,2325,13000,Oui,Non,Oui,Non,10.10.2019,10.10.2019,2019
ACT_NDA_20190925,08.10.2019,ACTED,Ndanda,Mbomou,Bakouma,Bakouma,5.2228,22.353201,6,Violences,22,111,Oui,Non,Oui,Non,08.10.2019,08.10.2019,2019
ACT_GOU_20191007,08.10.2019,ACTED,Goubali,Ouaka,Bambari,Danga-Gboudou,5.8811,21.069099,3,Violences,,,Non,Oui,Non,Non,08.10.2019,08.10.2019,2019
ACF_LAK_20190927,05.10.2019,ACF,Lokoti-Bangui,Nana-Mambere,Baboua,Fo,5.7889,15.0149,276,Autre,276,1766,Non,Oui,Non,Non,05.10.2019,05.10.2019,2019
ACF_MAR_20190927,05.10.2019,ACF,Markounda,Ouham,Markounda,Nana Markounda,7.618329,16.961994,8,Autre,987,6317,Non,Non,Non,Oui,05.10.2019,05.10.2019,2019
ACF_BOZ_20190930,05.10.2019,ACF,Bozoum,Ouham Pende,Bozoum,Bozoum,6.3186,16.370899,1,Autre,108,691,Non,Non,Non,Oui,05.10.2019,05.10.2019,2019
ACF_NGA_20190903,04.10.2019,ACF,Ngaounday,Ouham Pende,Ngaoundaye,Lim,7.4785,15.604,8,Autre,1175,7403,Non,Oui,Non,Oui,04.10.2019,04.10.2019,2019
SOL_BOT_20190918,01.10.2019,SI,Botto,Nana-Gribizi,Kaga-Bandoro,Botto,6.9752,19.1007,7,Autre,482,1741,Non,Oui,Non,Non,01.10.2019,01.10.2019,2019
ACF_NDO_20190909,10.09.2019,ACF,Doko,Ouham Pende,Ngaoundaye,Kodi,7.135428,15.521908,1,Autre,547,2735,Non,Non,Non,Oui,10.09.2019,10.09.2019,2019
ACF_YEL_20190902,04.09.2019,ACF,Niem,Nana-Mambere,Bouar,Niem-Yelewa,6.1986,15.2301,5,Autre,220,1320,Non,Non,Non,Oui,04.09.2019,04.09.2019,2019
SOL_SID_20190903,03.09.2019,SI,Moyenne Sido,Ouham,Kabo,Sido,8.222242,18.715504,1,Autre,1000,5000,Non,Non,Non,Oui,03.09.2019,03.09.2019,2019
ACT_SAT_20190821,29.08.2019,ACTED,Boungba 4,Basse-Kotto,Satema,Kotto-Oubangui,4.319,21.6852,12,Autre,1400,7000,Non,Oui,Non,Non,29.08.2019,29.08.2019,2019
ACF_BOZ_20190421,23.08.2019,ACF,Bozoum,Ouham Pende,Bozoum,Bozoum,6.3186,16.370899,1,Catastrophe naturelle,198,1204,Non,Non,Oui,Non,23.08.2019,23.08.2019,2019
ACF_BOM_20190729,30.07.2019,ACF,Bombo,Mambere-Kadei,Amada-Gaza,Haute-Boumbe,4.776336,14.864731,7,Autre,235,1500,Non,Non,Non,Oui,30.07.2019,30.07.2019,2019
ACT_ALI_20190717,29.07.2019,ACTED,Alindao,Basse-Kotto,Alindao,Alindao,5.040924,21.212063,12,Autre,700,3500,Non,Oui,Non,Non,29.07.2019,29.07.2019,2019
ACT_DIM_20190725,29.07.2019,ACTED,Dimbi,Basse-Kotto,Kembe,Kembe,4.623641,21.725927,7,Autre,5574,27870,Oui,Oui,Oui,Non,29.07.2019,29.07.2019,2019
ACT_BEM_20190704,29.07.2019,ACTED,Bema,Mbomou,Ouango,Ngbandinga,4.142,22.4422,3,Autre,,,Non,Oui,Non,Non,29.07.2019,29.07.2019,2019
ACT_BAN_20190708,29.07.2019,ACTED,Banangui,Haut-Mbomou,Zemio,Zemio,5.551,25.233,7,Autre,608,3040,Non,Oui,Non,Non,29.07.2019,29.07.2019,2019
SOL_GOF_20190725,26.07.2019,SI,Goffo,Ouham,Batangafo,Ouassi,7.362967,18.357109,13,Autre,1100,5500,Non,Oui,Non,Non,26.07.2019,26.07.2019,2019
SOL_BOZ_20190723,24.07.2019,SI,Boya,Ouham,Bouca,Lady Gbawi,6.932089,18.543842,2,Autre,700,3500,Non,Oui,Non,Non,24.07.2019,24.07.2019,2019
SOL_MBO_20190702,08.07.2019,SI,Mbolokpaka,Nana-Gribizi,Mbres,Mbres,6.4853,19.855801,3,Autre,220,1100,Non,Oui,Non,Non,08.07.2019,08.07.2019,2019
ACF_KOU_20190628,06.07.2019,ACF,Kounde,Nana-Mambere,Baboua,Kounde,6.1074,14.634,1,Autre,600,3000,Non,Oui,Non,Non,06.07.2019,06.07.2019,2019
ACF_ALI_20190629,06.07.2019,ACF,Alim,Nana-Mambere,Baboua,Kounde,6.0179,14.6521,2,Autre,300,1500,Non,Oui,Non,Non,06.07.2019,06.07.2019,2019
ACT_NDI_20190620,28.06.2019,ACTED,Kendja,Basse-Kotto,Kembe,Kembe,4.61,21.819401,1,Violences,53,269,Non,Oui,Non,Non,28.06.2019,28.06.2019,2019
ACT_KAN_20190627,28.06.2019,ACTED,Kandja,Basse-Kotto,Mobaye,Mbeima,4.4372,21.2591,11,Violences,785,3925,Non,Oui,Non,Non,28.06.2019,28.06.2019,2019
SOL_MAR_20180529,26.06.2019,SI,Boya,Ouham,Bouca,Lady Gbawi,6.932089,18.543842,1,Violences,1053,5265,Non,Non,Oui,Non,26.06.2019,26.06.2019,2019
SOL_BAT_20181101,24.06.2019,SI,Batangafo,Ouham,Batangafo,Batangafo,7.301,18.285101,1,Violences,4801,19310,Oui,Non,Non,Non,24.06.2019,24.06.2019,2019
SOL_LAD_20190111,24.06.2019,SI,Lady,Ouham,Bouca,Lady Gbawi,7.036628,18.347197,5,Violences,2157,10785,Oui,Non,Non,Non,24.06.2019,24.06.2019,2019
SOL_KAK_20190304,18.06.2019,SI,Kakosso,Ouham,Batangafo,Bede,7.484153,18.152889,10,Violences,1310,6550,Non,Oui,Non,Non,18.06.2019,18.06.2019,2019
SOL_BAM_20190122,18.06.2019,SI,Bamatara,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.861476,19.204199,1,Violences,349,1745,Non,Oui,Non,Non,18.06.2019,18.06.2019,2019
SOL_SCI_20180810,18.06.2019,SI,Scieurs,Nana-Gribizi,Mbres,Mbres,6.5431,19.826799,1,Violences,500,5000,Oui,Non,Non,Non,18.06.2019,18.06.2019,2019
SOL_KAB_20180827,18.06.2019,SI,Kabo,Ouham,Kabo,Sido,7.689,18.622999,1,Catastrophe naturelle,2245,11225,Non,Non,Oui,Non,18.06.2019,18.06.2019,2019
SOL_BLA_20190220,18.06.2019,SI,Blakadja,Nana-Gribizi,Mbres,Mbres,6.675782,19.618208,12,Violences,453,2265,Non,Oui,Non,Non,18.06.2019,18.06.2019,2019
SOL_NGO_20190611,12.06.2019,SI,Ngounzende,Nana-Gribizi,Kaga-Bandoro,Grivai-Pamia,7.027,19.303699,1,Violences,85,425,Oui,Non,Non,Non,12.06.2019,12.06.2019,2019
SOL_BEH_20190611,12.06.2019,SI,Behili 1,Ouham,Kabo,Sido,7.8569,18.1108,11,Autre,750,3750,Non,Oui,Non,Non,12.06.2019,12.06.2019,2019
SOL_KPO_20190304,05.06.2019,SI,Kpokpo 1,Nana-Gribizi,Kaga-Bandoro,Botto,7.033634,19.138823,2,Violences,538,2690,Oui,Non,Oui,Non,05.06.2019,05.06.2019,2019
ACF_YAN_20190529,29.05.2019,ACF,Yankian,Nana-Mambere,Bouar,Herman-Brousse,6.3465,15.7617,1,Violences,100,500,Oui,Non,Non,Non,29.05.2019,29.05.2019,2019
SOL_DAK_20190521,29.05.2019,SI,Dakoyo,Ouham,Batangafo,Bede,7.475985,18.143753,5,Violences,1534,9204,Non,Oui,Non,Non,29.05.2019,29.05.2019,2019
ACT_MOB_20190509,29.05.2019,ACTED,Mobaye,Basse-Kotto,Mobaye,Mobaye,4.325058,21.179085,3,Violences,92,460,Oui,Non,Non,Non,29.05.2019,29.05.2019,2019
