DateCreated,startDate,endDate,AlerteID,Partner,OCHA_village_v3,Prefecture,SousPrefecture,Commune,Latitude,Longitude,year,NFI_WASH,Code_Prefecture,TOTAL_individus_beneficiaires_NFI,TOTAL_individus_beneficiaires_WASH
04.01.2018,04.12.2017,06.12.2017,ACT_ALI_20171018,ACTED,Alindao,Basse-Kotto,Alindao,Alindao,4.96836,21.316256,2017,NFI,,2892,0
21.03.2017,24.02.2017,03.03.2017,ACF_BIK_20170115,ACF,Bocaranga,Ouham Pende,Koui,Koui,6.580138,15.359947,2017,NFI,,4420,0
21.03.2017,07.03.2017,10.03.2017,ACF_San_20170106,ACF,Bohong,Ouham Pende,Bocaranga,,6.49734,15.656105,2017,NFI,,9140,0
29.10.2015,27.08.2015,27.08.2015,SI_BOT_20150722,SI,Botto,Nana-Gribizi,Kaga-Bandoro,Botto,6.975222,19.100667,2015,NFI,,1275,0
14.07.2015,27.04.2015,27.05.2015,SI_NDE_20150320,SI,Kaga-Bandoro,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,6.992369,19.185733,2015,NFI,,5715,0
30.03.2015,26.03.2015,30.03.2015,ACF_KAB_20150305,ACF,Kaboro,Ouham,Nana-Bakassa,Nana-Bakassa,6.970833,17.529444,2015,NFI,,1506,0
26.01.2015,15.08.2014,15.08.2014,PU-AMI_2014_05,PU-AMI,Boganangone,Lobaye,Boganangone,Boganangone,4.695853,17.198067,2014,NFI-WASH,,1750,80
07.10.2016,27.07.2016,07.08.2016,ACF_Ndo_20160517,ACF,Ndoumbou,Ouham,Bouca,Ouham Fafa,6.824404,17.977696,2016,WASH,,,89
07.04.2016,09.03.2016,11.03.2016,ACF_Bab_20160111,ACF,Safou,Nana-Mambere,Bouar,Niem-Yelewa,6.553593,14.999187,2016,NFI-WASH,,1722,146
08.05.2018,02.02.2018,10.02.2018,ACF_KAM_20171226,ACF,Kambakota,Ouham,Batangafo,,7.166443,17.871756,2018,NFI-WASH,,6210,200
17.05.2015,13.05.2015,25.05.2015,PU_EVE_20150501,PU-AMI,Berberati,Mambere-Kadei,Berberati,Basse-Batouri,4.255473,15.787529,2015,NFI-WASH,,,200
23.06.2017,15.06.2017,20.06.2017,SI_MOL_20170502,SI,Molo,Ouham,Kabo,Sido,8.234618,18.755926,2017,NFI-WASH,,1259,259
08.12.2015,09.12.2015,18.12.2015,PU_BAY_20151117,PU-AMI,Bayanga,Sangha-Mbaere,Bayanga,,2.901436,16.269886,2015,NFI-WASH,,1438,279
26.01.2015,25.04.2014,30.04.2014,SI_KAB_20140430,SI,Kabo,Ouham,Kabo,Sido,7.688983,18.623028,2014,NFI,,297,297
13.10.2015,19.10.2001,21.10.2015,ACT_GOY_20150802,ACTED,Boy Kota,Ouaka,Kouango,Cochio-Toulou,5.15827,20.576496,2014,NFI-WASH,,,403
27.10.2015,15.09.2015,15.09.2015,DRC_BED_20150804,DRC,Bedam,Ouham Pende,Paoua,Mia-Pende,7.696461,16.521117,2015,WASH,,,460
03.10.2018,22.09.2018,22.09.2018,ACT_MBA_20180724,ACTED,Kouango,Ouaka,Kouango,Kouango,5.3935,20.1318,2018,NFI-WASH,,580,496
27.04.2016,02.03.2016,22.03.2016,PU_GBA_20160217,PU-AMI,Gbambia,Mambere-Kadei,Amada-Gaza,Haute-Boumbe,4.791097,14.985558,2016,NFI-WASH,,3219,500
24.03.2015,11.03.2015,13.03.2015,SI_BOT_20150127,SI,Kaga-Bandoro,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,6.992369,19.185733,2015,NFI,,845,500
05.12.2017,17.11.2017,17.12.2017,SI_CHU_20171117,SI,Chute Nana,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.921111,19.135,2017,NFI-WASH,,,539
14.07.2015,13.07.2015,15.08.2015,ACF_PAM_20150624,DRC,Pama,Ouham,Batangafo,Hama,7.172058,17.468886,2015,NFI-WASH,,510,546
10.10.2015,25.09.2015,01.10.2015,ACF_GBA_20150724,ACF,Bouca,Ouham,Bouca,Bouca Bobo,6.502576,18.279259,2015,NFI-WASH,,1866,585
03.10.2016,25.08.2016,06.09.2016,SI_BOT_20160725,SI,Botto,Nana-Gribizi,Kaga-Bandoro,Botto,6.975222,19.100667,2016,WASH,,,620
26.01.2015,01.05.2014,10.05.2014,ACF_2014_22,ACF,Yaloké,Ombella M'Poko,Yaloke,Yaloke,5.312628,17.100692,2014,WASH,,633,633
18.09.2017,26.04.2017,26.04.2017,ACT_KOL_20170331,ACTED,Mbo-Pouloubou,Basse-Kotto,Mingala,Kotto,5.126245,21.639282,2017,NFI-WASH,,1260,642
21.05.2018,21.04.2018,27.04.2018,ACF_TOU_20180408,ACF,Kate,Ouham Pende,Ngaoundaye,Yeme,7.508586,16.096793,2018,NFI-WASH,,2394,682
15.02.2016,28.11.2015,15.12.2015,ACF_Bey_20151128,ACF,Beya,Ouham,Bouca,Bouca Bobo,6.509642,18.479614,2015,NFI-WASH,,709,707
26.07.2016,19.06.2016,29.08.2016,ACT_TAM_20160119,ACTED,Tambourah,Haut-Mbomou,Zemio,Zemio,5.17573,25.219842,2016,NFI-WASH,,1505,711
28.07.2015,24.07.2015,14.09.2015,ACF_NDE_20150710,ACF,Ndengou,Kemo,Ndjoukou,Galabadja,5.119656,19.797664,2015,NFI-WASH,,7909,725
01.07.2016,04.04.2016,13.04.2016,ACT_NDA_20160220,ACTED,Ndassima,Ouaka,Bambari,Danga-Gboudou,6.138944,20.777868,2016,NFI-WASH,,3070,776
05.09.2016,19.08.2016,20.09.2016,ACT_IRA_20160120,ACTED,Zabé,Mbomou,Bakouma,Bakouma,5.908856,22.235056,2016,NFI-WASH,,1665,784
03.04.2017,06.03.2017,07.03.2017,ACT_MAL_20170213,ACTED,Maloum,Ouaka,Bambari,Bambari,5.852494,21.06537,2017,NFI-WASH,,1425,813
26.07.2016,12.06.2016,13.06.2016,ACT_AGO_20160417,ACTED,Agoumar,Mbomou,Rafai,Rafai,4.993979,23.917023,2016,NFI-WASH,,4095,835
29.05.2015,02.05.2015,19.07.2015,ACTED_GUE_20150425,ACTED,Guenekoumba,Mbomou,Rafai,Rafai,5.09295,24.58524,2015,NFI,,1415,889
01.06.2018,22.05.2018,29.05.2018,ACF_BOS_20180424,ACF,Geodi 2,Ouham Pende,Koui,Koui,6.934899,15.45952,2018,NFI-WASH,,2979,898
29.05.2019,23.05.2019,23.05.2019,SOL_GRI_20190409,SI,Koddo 2,Nana-Gribizi,Kaga-Bandoro,Grivai-Pamia,7.062481,19.18326,2019,WASH,,,915
06.07.2015,03.07.2015,18.07.2015,PU_NOL_20150623,PU-AMI,Nola,Sangha-Mbaere,Nola,Nola,3.524026,16.04494,2015,WASH,,962,962
19.12.2019,15.12.2019,15.12.2019,ACF_NDO_20191111,ACF,Ndoumbou,Ouham,Bouca,Ouham Fafa,6.827492,17.97332,2019,NFI-WASH,,2061,965
04.03.2019,25.02.2019,25.02.2019,ACF_GBA_20190126,ACF,Bobete,Ouham,Markounda,Nana Markounda,7.549471,16.91363,2019,WASH,,,983
27.05.2016,28.04.2016,27.05.2016,PU_BOM_20160411,PU-AMI,Bombo,Mambere-Kadei,Amada-Gaza,Haute-Boumbe,4.780296,14.864348,2016,NFI-WASH,,1888,1000
17.05.2015,30.05.2015,12.06.2015,PU_MBA_20150313,PU-AMI,Boy bale,Mambere-Kadei,Gadzi,Mbali,5.225732,16.757124,2015,NFI-WASH,,7259,1000
26.01.2015,25.04.2014,30.04.2014,SI_2014_02,SI,Kabo,Ouham,Kabo,Sido,7.697565,18.629944,2014,NFI-WASH,,1008,1008
27.05.2015,29.05.2015,31.05.2015,ACTED_ZAB_20150422,ACTED,Zabé,Mbomou,Bakouma,Bakouma,5.908856,22.235056,2015,NFI,,,1014
17.08.2015,08.08.2015,10.08.2015,DRC_BEM_20150712,DRC,Bémal 1,Ouham,Batangafo,,7.128078,17.867414,2015,NFI-WASH,,1035,1035
11.07.2017,08.05.2017,09.06.2017,ACT_AGO_201703272,ACTED,Bambari,Ouaka,Bambari,Bambari,5.751444,20.667172,2017,NFI-WASH,,5480,1074
17.05.2016,03.03.2016,20.04.2016,ACT_MAB_20160203,ACTED,Mabo,Mbomou,Gambo,Gambo,4.666018,22.533842,2016,NFI-WASH,,994,1084
06.04.2015,06.04.2015,06.04.2015,DRC_SAN_20150225,ACF,Sanguere 3,Ouham Pende,Koui,Koui,6.966833,15.337074,2015,NFI-WASH,,1112,1112
03.10.2018,04.09.2018,04.09.2018,ACT_BAM_20180609,ACTED,Awatche,Ouaka,Bambari,Pladama-Ouaka,5.7648,20.6542,2018,WASH,,,1142
15.02.2016,28.11.2015,15.12.2015,ACF_Gba_20150724,ACF,Gbassore,Ouham,Bouca,Bouca Bobo,6.512249,18.408016,2015,NFI-WASH,,1159,1159
03.10.2016,06.09.2016,08.09.2016,SI_MOY_20160729,SI,Moyenne Sido,Ouham,Kabo,Sido,8.225083,18.711433,2016,NFI-WASH,,646,1195
30.05.2019,11.06.2019,11.06.2019,ACF_BOZ_20190421,ACF,Bozoum,Ouham Pende,Bozoum,Bozoum,6.3186,16.370899,2019,NFI-WASH,,1204,1204
27.03.2018,16.03.2018,21.03.2018,ACF_VAK_20180219,ACF,Vakap,Nana-Mambere,Bouar,Herman-Brousse,6.160218,15.542249,2018,NFI-WASH,,2009,1244
27.03.2018,26.01.2018,31.01.2018,SOL_ZEF_20180118,SI,Zéfio,Nana-Gribizi,Kaga-Bandoro,Botto,6.994852,19.149206,2018,NFI-WASH,,1578,1260
26.09.2017,04.09.2017,06.09.2017,ACT_GAM_20170804,ACTED,Bangassou,Mbomou,Bangassou,,4.740092,22.822237,2017,NFI-WASH,,1248,1281
14.12.2015,11.11.2015,08.12.2015,SI_OUA_20150923,SI,Ouandago 4,Nana-Gribizi,Kaga-Bandoro,Nana-Outa,7.262246,18.8427,2015,NFI-WASH,,1296,1296
28.06.2019,21.06.2019,21.06.2019,ACT_BOU_20190327,ACTED,Boulangba,Basse-Kotto,Mobaye,Mbeima,4.468794,21.134697,2019,NFI-WASH,,6447,1300
13.04.2015,02.04.2015,16.05.2015,PU_AMA_20150213,PU-AMI,Amada Gaza,Mambere-Kadei,Amada-Gaza,,4.768658,15.209111,2015,NFI,,1808,1300
06.12.2016,05.10.2016,05.10.2016,SI_MOY_20160729,SI,Moyenne Sido,Ouham,Kabo,Sido,8.225083,18.711433,2016,NFI-WASH,,586,1301
08.03.2016,01.02.2016,13.03.2016,PU_MBA_20160112,PU-AMI,Mbandjifolo,Mambere-Kadei,Dede-Mokouba,,4.075833,15.255556,2016,WASH,,,1406
26.06.2018,05.06.2018,14.06.2018,ACF_GOU_20180511,ACF,Gouze,Ouham Pende,Paoua,Banh,7.05699,16.369279,2018,NFI-WASH,,6865,1414
04.04.2017,22.03.2017,24.03.2017,ACF_Boc_20170202,ACF,Bocaranga,Ouham Pende,Koui,Koui,6.996461,15.638319,2017,WASH,,,1427
09.02.2016,09.01.2016,26.01.2016,ACF_Mar_20151023,ACF,Marali,Ouham,Bouca,,6.036561,18.404156,2016,NFI-WASH,,1502,1502
04.12.2019,05.11.2019,05.11.2019,SOL_KAB_20191030,SI,Kabo,Ouham,Kabo,Sido,7.689,18.622999,2019,NFI-WASH,,1563,1563
01.03.2019,14.02.2019,14.02.2019,SOL_BAM_20190122,SI,Bamatara,Ouham,Kaga-Bandoro,Botto,7.0047,19.0508,2019,NFI-WASH,,1614,1614
10.10.2015,24.09.2015,27.09.2015,ACF_SAB_20150820,ACF,Minime,Nana-Mambere,Bouar,Niem-Yelewa,6.722684,15.179215,2015,NFI-WASH,,1620,1621
01.08.2015,16.07.2015,20.07.2015,SI_BI2_20150516,SI,Kaga-Bandoro,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,6.992369,19.185733,2015,NFI-WASH,,1630,1630
24.03.2015,30.01.2015,01.02.2015,ACF_BON_20141216,ACF,Bondiba,Nana-Mambere,Baboua,Baboua,5.535135,14.794725,2015,NFI-WASH,,1695,1695
04.02.2019,10.01.2019,10.01.2019,ACT_ALI_20181115,ACTED,Pavika,Basse-Kotto,Alindao,Guiligui,5.040924,21.212063,2019,NFI-WASH-Autre,,3996,1707
03.10.2018,12.09.2018,12.09.2018,ACT_MBA_20180724,ACTED,Grimari,Ouaka,Grimari,Grimari,5.3935,20.1318,2018,NFI-WASH,,1326,1740
26.05.2015,26.05.2015,31.05.2015,ACTED_KPA_20150505,ACTED,Kpadou,Basse-Kotto,Kembe,Mboui,4.531658,21.375632,2015,NFI-WASH,,8775,1755
02.05.2017,13.04.2017,21.04.2017,ACF_Mak_20170330,ACF,Makounzi Wali,Ouham Pende,Koui,Koui,6.78566,15.094831,2017,NFI-WASH,,1809,1809
