DateCreated,startDate,endDate,Partner,year,AlerteID,Menage_deplaces,Individus_deplaces,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,MSAcount,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,OCHA_village_v2,Prefecture,SousPrefecture,Commune,Latitude,Longitude
04.02.2020,11.01.2020,15.01.2020,SI,2020,ACF_BED_20191223,754,3770,4.5,0,26,43.5,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Bedambou,Kemo,Dekoa,Tilo,6.272915,19.325514
31.01.2020,29.05.2019,01.06.2019,SI,2020,SOL_DAK_20190521,1534,9204,4.3,61.4,0,0.6,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Dakoyo,Ouham,Batangafo,Bede,7.475985,18.143753
30.01.2020,08.01.2020,10.01.2020,ACTED,2020,ACT_MBR_20191226,1910,9550,4,6,37.9,21.6,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Tagbara,Ouaka,Bambari,Danga-Gboudou,5.922136,21.148134
29.01.2020,07.01.2020,10.01.2020,ACF,2020,ACF_GBO_20191230,457,1876,43,339,0,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Gboko Gueme,Kemo,Ndjoukou,Galabadja,5.1499,19.597099
17.12.2019,31.07.2019,03.08.2019,ACTED,2019,ACT_ALI_20190717,642,3210,4.1,39.6,53.7,35.8,,Oui,Oui,Non,Oui,Oui,Oui,Non,Alindao,Basse-Kotto,Alindao,Alindao,5.040924,21.212063
12.12.2019,05.12.2019,09.12.2019,ACF,2019,ACF_DEK_20191129,817,3933,4.2,36.5,28.2,73,,Oui,Oui,Oui,Non,Oui,Oui,Oui,Daya,Kemo,Dekoa,Dekoa,6.37431,18.930767
12.12.2019,07.12.2019,11.12.2019,ACF,2019,ACF_BET_20191126,9016,45080,0,0,0,0,,Oui,Oui,Non,Oui,Oui,Oui,Non,Bemal,Ouham Pende,Paoua,Mia-Pende,7.581,16.610901
03.12.2019,31.10.2019,06.11.2019,ACTED,2019,ACT_BEM_20191022,4338,21120,4.3,12.5,0,0,,Oui,Oui,Oui,Non,Oui,Oui,Oui,Bema,Mbomou,Ouango,Ngbandinga,4.142,22.4422
21.11.2019,20.11.2019,22.11.2019,ACF,2019,ACF_NDO_20191111,698,3498,41,35,191,391,,Oui,Oui,Non,Non,Oui,Oui,Oui,Ndoumbou,Ouham,Bouca,Ouham Fafa,6.827492,17.97332
05.11.2019,16.10.2019,18.10.2019,ACF,2019,ACF_LAK_20190927,221,1105,4.1,0,0,0,,Oui,Non,Non,Non,Non,Non,Non,Kounde,Nana-Mambere,Baboua,Kounde,6.1074,14.634
29.10.2019,03.10.2019,11.10.2019,ACF,2019,ACF_MAR_20190927,2335,15878,44,19,95,79.3,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Markounda,Ouham,Markounda,Nana Markounda,7.618329,16.961994
29.10.2019,16.10.2019,24.10.2019,ACF,2019,ACF_NDO_20190909,2174,13261,4.2,4.9,0,77,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ndanga,Ouham Pende,Ngaoundaye,Kodi,7.412888,15.50427
10.10.2019,02.08.2019,07.08.2019,ACTED,2019,ACT_BEM_20190704,4148,20742,4.4,7.5,48.2,1.7,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ouazzoua,Mbomou,Ouango,Ouango,4.2704,22.418501
05.10.2019,19.09.2019,24.09.2019,ACF,2019,ACF_NGA_20190903,1239,7929,41,174,53.7,86.2,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Bonele,Ouham Pende,Bocaranga,Loura,7.0905,15.888
18.09.2019,11.09.2019,15.09.2019,SI,2019,SOL_SID_20190903,904,4520,4.4,24.8,28.1,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Moyenne Sido,Ouham,Kabo,Sido,8.222242,18.715504
12.09.2019,27.08.2019,09.09.2019,SI,2019,SOL_AKO_20190806,4000,20000,4.1,0.8,43.5,57.3,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Akoursoulbak,Bamingui-Bangoran,Ndele,Dar El Kouti,8.9904,20.7297
10.09.2019,07.08.2019,10.08.2019,ACF,2019,,300,1500,4.4,34,12,6,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bongobo,Mambere-Kadei,Amada-Gaza,Haute-Boumbe,4.787893,14.894319
29.08.2019,19.08.2019,21.08.2019,ACTED,2019,ACT_DIM_20190725,5551,27755,4.3,4.5,69.6,28.1,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Dimbi,Basse-Kotto,Kembe,Kembe,4.623641,21.725927
29.08.2019,30.07.2019,03.08.2019,ACF,2019,SOL_BOZ_20190723,244,1220,4.2,1.6,28.7,1.6,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Boya i,Ouham,Bouca,Lady Gbawi,6.949213,18.505611
