SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,Axe,AlerteID,Nb_localités_affectés,Menage_deplaces,Individus_deplaces,Menage_retournes,Individus_retournes,Menages_acceuil,Individus_acceuil,individus_communaute_hote,menages_communaute_hote,Date_rapport_envoyé_CoPil,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,Taux_diarrhee_chez_les_enfants_de_moins_de_5_ans_..._au_cours_des_2_dernieres_semaines,Score_Consommation_alimentaire,X_score_de_Consommation_alimentaire_Acceptable,X_score_de_Consommation_alimentaire_Limite,X_score_de_Consommation_alimentaire_Pauvre,X_d.ecole_fonctionnelles,MSAcount,Population_affectees,Status_Complete,Status_Prevu,Status_En_cours,Status_En_attente,Status_Annule,Delai_INT_Disponibilite,Delai_INT_Coordination_humanitaire,Delai_INT_Defaillance_BD,Delai_INT_Intervention_multiple,Delai_INT_NA,Delai_INT_Autre,Delai_EXT_Necessite_reevaluer,Delai_EXT_Acces_logistique,Delai_EXT_Suspension_logistique,Delai_EXT_Acceptance_parties_prenantes,Equipe RRM ciblé ou touché par un incident pendant la MSA,Delai_EXT_Acces_securitaire,Delai_EXT_Suspension_securitaire,Delai_EXT_NA,Delai_EXT_Autre,Annulation_Conversion_MEX,Annulation_Planification,Annulation_Autre,Annulation_NA,Status_Rapport_En cours,Status_Rapport_Envoye_CoPil,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Pas_intervention,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,Code_Prefecture,Prefecture,Code_SousPréfecture,SousPrefecture,Code_Commune,Commune,Code_Arrondissement,Arrondissement,Longitude,Latitude,year,month,startDate
279672422,02.04.2015,19.02.2014,19.02.2014,ACTED,Ngakobo,,ACTED_NGA_20150208,,490,,,,,,,,,5.0,,,,,,,,,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Ouaka,,Bambari,,Ngougbia,,,20.730846,5.339652,2014,Février,19.02.2014
246920032,27.02.2015,10.04.2014,10.04.2014,SI,Bokonde,,SI_2014_02,,0,0,0,326,0,0,,,,4.2,0,0,85,,,52,0,0,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Kabo,,Sido,,,18.680748,7.899799,2014,Avril,10.04.2014
357335304,27.02.2015,16.04.2014,17.04.2014,ACTED,Pombolo-Madima,,ACTED_2014_19,,0,0,0,0,0,0,,,,3.5,0,0,0,,,0,0,0,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Mbomou,,Gambo,,Gambo,,,21.998526,4.673463,2014,Avril,16.04.2014
67619382,27.02.2015,30.04.2014,30.04.2014,IRC,Kaga-Bandoro,,IRC_2014_08,,3700,0,0,0,0,0,,,,4.6,0,0,0,,,0,0,0,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.191543,6.990379,2014,Avril,30.04.2014
10291796,27.02.2015,09.05.2014,12.05.2014,ACTED,Gandamba,,ACTED_2014_14,,632,9632,0,0,0,0,,,,4.1,0,0,23,,,52,35,13,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouaka,,Grimari,,Grimari,,,20.034118,5.744777,2014,Mai,09.05.2014
1706842071,27.02.2015,14.05.2014,14.05.2014,ACF,Bouca,,ACF_2014_07,,0,180,0,0,0,27782,,,,3.8,15,0,100,,,93,5,2,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Bouca,,Bouca Bobo,,,18.279259,6.502576,2014,Mai,14.05.2014
612231450,27.02.2015,18.05.2014,18.05.2014,IRC,Ngoutere,,IRC_2014_14,,13,0,0,0,200,0,,,,4.7,92,0,6,,,7,31,62,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham Pende,,Bocaranga,,Pende,,,15.896256,6.771014,2014,Mai,18.05.2014
547401261,27.02.2015,25.05.2014,25.05.2014,IRC,Kollo,,IRC_2014_13,,0,2600,0,0,0,0,,,,3.4,8,17,2,,,67,33,0,100,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham Pende,,Ngaoundaye,,Lim,,,15.592088,7.478270,2014,Mai,25.05.2014
2108712297,27.02.2015,02.06.2014,02.06.2014,ACF,Gpt Kouki,,ACF_KOU_20150325,,1400,7000,0,0,0,0,,,,4.1,90,0,32,,,4,46,51,0,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.298090,7.156851,2014,Juin,02.06.2014
2098516451,27.02.2015,04.06.2014,04.06.2014,ACF,Sibut,,ACF_2014_18,,0,667,0,0,0,29900,,,,4.3,2,5,64,,,28,29,43,100,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Kemo,,Sibut,,Sibut,,,19.081939,5.727482,2014,Juin,04.06.2014
