SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v3,year,AlerteID,NFI_WASH,satisfaction_globale_qualite,satisfaction_globale_quantite,qualite_baches,qualite_bidons,qualite_nattes,qualite_couvertures,qualite_kits_cuisine,qualite_moustiquaires,qualite_savons,qualite_seaux,quantite_baches,quantite_bidons,quantite_nattes,quantite_couvertures,quantite_kits_cuisine,quantite_moustiquaires,quantite_savons,quantite_seaux,Code_Prefecture,Prefecture,SousPrefecture,Commune,Longitude,Latitude
1353173924,30.10.2017,25.10.2017,26.10.2017,SI,Kabo,2017,SI_KAB_20170913,NFI,99,,99,,,,,,,,,,,,,,,,,Ouham,Kabo,Sido,18.629944,7.697565
,29.03.2019,13.03.2019,14.03.2019,ACTED,Tagbara,2019,ACT_TAG_20181228,NFI,,,21,,,,,,,21,100,100,,100,,,,,,Ouaka,Bambari,Danga-Gboudou,21.148134,5.922136
,29.03.2019,11.03.2019,12.03.2019,ACTED,Agoudou-Manga,2019,ACT_AGO_20190131,NFI,52,12,42,22,61,100,72,100,43,71,,19,22,,,33,14,,,Ouaka,Bambari,Danga-Gboudou,20.9126,5.8823
664770700,24.04.2017,28.03.2017,29.03.2017,ACF,Dékoa,2017,ACF_DEK_20161113,NFI,87,74,80,26,75,82,,,84,,25,28,28,24,26,26,25,,,Kemo,Dekoa,Dekoa,19.118972,6.518772
1044199084,24.04.2017,29.03.2017,31.03.2017,ACF,Dékoa,2017,ACF_DEK_20161113,NFI,84,80,,28,21,,,13,10,,27,28,23,23,,17,38,,,Kemo,Dekoa,Dekoa,19.118972,6.518772
1607830939,03.05.2017,17.04.2017,18.04.2017,SI,Botto,2017,SI_BOT_20170221,WASH,95,75,,,,,,,92,,,,,,,,54,,,Nana-Gribizi,Kaga-Bandoro,Botto,19.100667,6.975222
2107097559,30.06.2015,04.07.2015,05.07.2015,ACTED,Guenekoumba,2015,ACTED_GUE_20150425,NFI - WASH,,,75,,,58,,,,,65,,,58,,,,,,Mbomou,Rafai,Rafai,24.58524,5.09295
2088394689,10.07.2015,10.07.2015,11.07.2015,ACTED,Zabé,2015,"	ACTED_ZAB_20150422",NFI - WASH,,,85,,,45,,,,,80,,58,58,,,,,,Mbomou,Bakouma,Bakouma,22.235056,5.908856
1640109428,30.05.2016,07.05.2016,08.05.2016,ACF,Bodjomo,2016,ACF_Bod_20160217,NFI,,,,,48,91,96,,,,,,53,35,86,,,,,Ouham,Markounda,Nana Markounda,17.136638,7.418152
2088401948,23.06.2015,23.06.2015,24.06.2015,ACTED,Goussiéma,2015,ACTED_GOU_20150319,NFI - WASH,,,100,,,43,98,,,,72,,,62,86,,,,,Ouaka,Kouango,Kouango,20.12675,5.395833
1653217535,30.06.2015,05.07.2015,06.07.2015,ACTED,Derbissaka,2015,ACTED_DER_20150227,NFI - WASH,,,90,,,60,97,,,,80,,,60,95,,,,,Mbomou,Rafai,Rafai,24.847812,5.774286
,22.02.2019,22.11.2018,29.11.2018,ACTED,Grimari,2019,ACT_MBA_20180724,NFI-WASH,79,10,85,23,70,97,92,97,83,87,19,17,15,,,,,,,Ouaka,Grimari,Grimari,20.1318,5.3935
,22.02.2019,06.12.2018,08.12.2018,ACTED,Mourouba,2019,SOL_MBR_20180628,NFI-WASH,75,11,69,37,57,81,84,90,67,89,39,10,,10,,18,17,,,Ouaka,Bakala,Koudou-Bego,19.776846,6.665687
,25.09.2018,11.07.2018,14.07.2018,ACTED,Bambari,2018,ACT_TAG_20180321,NFI,77,24,85,38,56,96,88,97,61,94,32,26,25,27,27,38,,16,,Ouaka,Bambari,Bambari,20.6542,5.7648
,13.02.2019,27.10.2018,29.10.2018,ACTED,Ouazoua,2019,ACT_OUA_20180514,NFI,49,22,12,,22,95,33,59,86,78,29,33,38,11,,29,,22,,Mbomou,Ouango,Ouango,22.418501,4.2704
,22.06.2018,23.04.2018,23.04.2018,ACTED,Bakala,2018,ACT_NDA_20171219,NFI - WASH,75,40,85,48,34,94,73,86,92,85,39,35,43,53,35,51,38,24,,Ouaka,Bakala,Koudou-Bego,20.388232,6.193155
34626025,29.01.2016,06.01.2016,10.01.2016,PU-AMI,Gamboula,2016,PU_GA_20151010,NFI - WASH,,11,95,,91,87,,,,90,28,,29,29,,,,33,,Mambere-Kadei,Gamboula,Basse-Boumne,15.137363,4.121131
1553984904,23.06.2015,24.06.2015,24.06.2015,ACF,Kouki,2015,ACF_KOU_20150325,NFI - WASH,,,43,,90,77,,,,97,22,,44,49,,,,36,,Ouham,Nana-Bakassa,Nana-Bakassa,17.309082,7.166343
,05.07.2018,26.04.2018,26.04.2018,ACTED,Bougoua,2018,ACT_YAM_20180108,NFI,83,44,94,63,53,100,86,96,86,89,61,49,54,37,37,68,,38,,Ouaka,Bambari,Ngougbia,20.701274,5.703956
1040916207,17.07.2017,06.07.2017,08.07.2017,ACTED,Bambari,2017,ACT_AGO_20170327,NFI - WASH,90,60,90,70,90,90,70,80,90,90,50,75,55,70,40,70,40,40,,Ouaka,Bambari,Bambari,20.667172,5.751444
,12.12.2017,12.12.2017,12.12.2017,ACTED,Obo,2017,ACT_KAD_20170818,NFI,75.5,48.5,,,59,,,68,91,83,,,48,,,52,53,41,,Haut-Mbomou,Obo,Obo,26.494639,5.403851
627663217,11.07.2017,03.07.2017,04.07.2017,ACTED,Alindao,2017,ACT_ALI_20170509,NFI - WASH,99,60,91,90,95,98,80,99,99,95,47,60,57,73,36,85,60,41,,Basse-Kotto,Alindao,Alindao,21.214987,5.042049
,25.02.2019,10.12.2018,11.12.2018,ACF,Gadoulou,2019,ACF_GAD_20180530,NFI-WASH,,,62,39,39,40,42,40,41,40,78,38,42,43,44,42,42,42,,Ouham Pende,Paoua,Paoua,16.504801,7.2302
,14.12.2018,21.11.2018,24.11.2018,ACF,Degaulle,2018,ACF_KOU _20180727,NFI-WASH,66,57,79,35,72,78,75,71,66,61,63,47,65,72,65,55,47,46,,Ouham Pende,Koui,Koui,15.434181,6.939197
1090817431,08.03.2016,25.01.2016,30.01.2016,PU-AMI,Boy-Bale,2016,PU_MBA_20150313,NFI - WASH,,,98,,97,82,,,,96,44,,45,38,,,,46,,Mambere-Kadei,Gadzi,Mbali,16.727049,5.218337
,21.11.2017,21.11.2017,21.11.2017,ACF,Bouca,2017,ACF_BOU_20170907,NFI - WASH,98,57,99,50,92,99,82,77,96,99,28,50,49,49,44,39,38,47,,Ouham,Bouca,Bouca Bobo,18.279259,6.502576
,07.05.2019,16.04.2019,17.04.2019,SI,Kpokpo 2,2019,SOL_KPO_20190304,NFI,71,56,78,75,71,70,83,67,65,59,88,66,57,55,74,57,37,48,,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,19.138823,7.033634
160658928,29.04.2015,13.04.2015,14.04.2015,PU-AMI,Nassole,2015,PU_NAS_20150211,NFI - WASH,,13,97,,100,100,100,,,100,45,,47,51,45,,,48,,Mambere-Kadei,Berberati,Ouakanga,15.375248,4.258509
32985740,04.02.2016,18.02.2016,19.02.2016,PU-AMI,Nola,2016,PU_NOL_20151106,NFI - WASH,,,,,,,,,,97,,,,,,,,48,,Sangha-Mbaere,Nola,Nola,16.04494,3.524026
,25.02.2019,30.10.2018,08.11.2018,ACF,Nassole,2019,ACF_NAS _20180816,NFI,56,49,77,23,52,70,60,56,61,58,75,41,43,63,42,31,46,49,,Mambere-Kadei,Berberati,Ouakanga,15.3752,4.2585
,20.11.2018,05.11.2018,07.11.2018,SI,Mbres,2018,SOL_MBR_20180628,NFI-WASH,74,63,99,70,79,85,93,71,77,71,99,61,73,75,87,50,59,49,,Nana-Gribizi,Mbres,Mbres,19.776846,6.665687
,25.02.2019,06.12.2018,08.12.2018,ACF,Korozian,2019,ACF_KOR_20180530,NFI-WASH,,,65,30,58,65,60,62,59,67,62,38,35,42,50,38,43,50,,Ouham Pende,Paoua,Nana-Barya,16.675125,7.292625
359188669,22.03.2017,25.02.2017,26.02.2017,ACTED,Bianga,2017,ACT_BIA_20160911,NFI,98,56,94,44,94,97,95,67,100,95,67,76,,76,24,83,63,50,,Ouaka,Kouango,Kouango,20.4,4.83
226693599,08.08.2017,02.05.2017,27.07.2017,SI,Molo,2017,SI_MOL_20170502,NFI,95,56,100,73,72,97,100,77,77,99,54,48,47,26,94,57,76,52,,Ouham,Kabo,Sido,18.755926,8.234618
,25.02.2019,30.10.2018,08.11.2018,ACF,Gamboula,2019,ACF_GAM _20180728,NFI,60,52,73,32,63,73,60,60,62,61,71,42,49,65,50,38,49,54,,Mambere-Kadei,Gamboula,Basse-Boumne,15.1374,4.1211
,17.04.2018,17.04.2018,17.04.2018,ACF,Kambakota,2018,ACF_KAM_20171226,NFI - WASH,98,60,89,72,90,100,83,86,91,99,74,59,53,54,57,60,69,55,,Ouham,Batangafo,,17.871756,7.166443
1540587055,22.05.2017,22.04.2017,23.04.2017,ACTED,Maloum,2017,ACT_MAL_20170213,NFI - WASH,,,98,96,100,99,95,99,99,98,62,63,71,73,62,75,72,58,,Ouaka,Bambari,Bambari,21.06537,5.852494
907719967,20.10.2015,04.04.2015,25.09.2015,PU-AMI,Amada Gaza,2015,PU_AMA_20150213,NFI - WASH,,,98,,95,90,99,,,95,51,,57,57,67,,,59,,Mambere-Kadei,Amada-Gaza,,15.209111,4.768658
1968972520,20.03.2017,01.03.2017,03.03.2017,SI,Kabo,2017,SI_KAB_20170126,NFI,93,37,100,38,37,53,67,37,53,82,26,46,20,35,23,41,47,60,,Ouham,Kabo,Sido,18.623028,7.688983
,05.12.2017,05.12.2017,05.12.2017,ACF,Gallo-Bouya,2017,ACF_NIE_20170831,NFI,97,57,100,22,48,100,61,100,100,100,99,33,55,32,53,76,52,60,,Nana-Mambere,Bouar,Niem-Yelewa,15.176316,5.800816
1190330985,11.08.2017,19.07.2017,21.07.2017,ACF,Markounda,2017,ACF_MAR_20170425,NFI - WASH,97,60,92,60,59,97,100,54,84,97,93,63,56,79,73,56,42,62,,Ouham,Markounda,Nana Markounda,16.966936,7.61732
334162386,29.09.2017,18.09.2017,20.09.2017,ACF,Boguila 1,2017,ACF_BOR_20170801,NFI - WASH,98,51,,74,81,94,98,74,90,98,,56,53,56,56,56,62,62,,Ouham,Nangha Boguila,Nangha Boguila,16.924204,7.13285
,15.11.2018,16.10.2018,17.10.2018,ACF,Gouze,2018,ACF_GOU_20180511,NFI-WASH,87,65,95,65,73,97,74,98,96,98,76,68,57,70,57,69,63,62,,Ouham Pende,Paoua,Banh,16.376101,7.0673
,25.09.2018,12.07.2018,14.07.2018,ACTED,Rafai,2018,ACT_RAF_20180326,NFI,87,54,95,58,78,94,89,88,98,96,61,66,64,55,55,67,,63,,Mbomou,Rafai,Rafai,23.933399,4.9694
,06.06.2018,27.03.2018,27.03.2018,SI,Bamatara,2018,SOL_BAM_20171030,NFI - WASH,99,57,100,88,87,96,96,100,98,95,85,53,56,58,73,67,,65,,Nana-Gribizi,Kaga-Bandoro,Botto,19.21151,6.842788
,06.06.2018,28.03.2018,28.03.2018,SI,Kaga-Bandoro,2018,SOL_CHU_20171117,NFI - WASH,99,57,100,88,87,96,96,100,98,95,85,53,56,58,73,67,,65,,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,19.195,6.99
,06.06.2018,27.03.2018,27.03.2018,SI,Zefio,2018,SOL_ZEF_20180118,NFI - WASH,99,57,100,88,87,96,96,100,98,95,85,53,56,58,73,67,,65,,Nana-Gribizi,Kaga-Bandoro,,19.149206,6.994852
,19.02.2019,12.05.2018,14.05.2018,ACF,Boulo,2019,ACF_MAR_20180103,NFI-WASH,98,68,96,,61,100,59,98,97,100,77,72,14,67,66,65,70,67,,Ouham,Markounda,Nana Markounda,16.961994,7.618329
875935719,22.05.2017,21.04.2017,22.04.2017,ACTED,Ippy,2017,ACT_MBR_20161219,NFI - WASH,,,94,81,94,98,92,100,100,100,67,70,75,77,72,78,73,68,,Ouaka,Ippy,Ippy,21.1966,6.260115
1284526206,25.04.2017,24.03.2017,25.03.2017,ACTED,Poudjo,2017,ACT_POU_20161230,NFI - WASH,56,44,98,,81,100,94,86,100,96,80,85,78,84,66,85,73,71,,Basse-Kotto,Alindao,Yambele-Ewou,21.021352,5.364255
,10.01.2018,10.01.2018,10.01.2018,ACF,Niem,2018,ACF_NIE_20171114,NFI - WASH,96,85,100,95,85,99,93,100,100,99,93,92,87,79,81,90,83,73,,Nana-Mambere,Bouar,Niem-Yelewa,15.230062,6.198608
1330818995,22.05.2017,30.03.2017,30.03.2017,ACTED,Yamale,2017,ACT_BAK_20161127,NFI,100,70,100,70,71,100,100,100,100,100,80,90,75,80,60,80,85,80,,Ouaka,Bambari,Pladama-Ouaka,20.517532,5.971565
,23.10.2018,26.09.2018,29.09.2018,ACF,Bodjomo,2018,ACF_MAI_20180502,NFI-WASH,90,80,90,75,80,100,82,100,100,100,85,85,75,85,83,78,88,82,,Ouham,Markounda,Nana Markounda,17.6287,7.933
1527769760,27.02.2017,26.01.2017,28.01.2017,ACF,Marzé,2017,ACF_MAR_20161025,NFI,,,100,92,95,100,100,100,100,92,88,82,84,90,93,82,93,82,,Ouham,Bouca,,18.778981,6.847689
1361951012,22.03.2017,23.02.2017,24.03.2017,ACTED,Grimari,2017,ACT_BAK_20161127,NFI - WASH,99,84,99,85,94,99,94,95,99,97,81,86,83,89,69,88,90,84,,Ouaka,Grimari,Grimari,20.0552,5.741367
,23.10.2018,22.09.2018,26.09.2018,ACF,Touloulou,2018,ACF_TOU_20180408,NFI-WASH,93,90,100,80,90,98,82,98,98,95,97,92,94,90,90,89,84,85,,Ouham Pende,Ngaoundaye,Yeme,15.8353,7.2563
120377094,30.06.2015,30.06.2015,01.07.2015,ACTED,Kpadou,2015,ACTED_KPA_20150505,NFI - WASH,,,,,,,,,,100,,,,,,,,85,,Basse-Kotto,Kembe,Mboui,21.375632,4.531658
,22.02.2019,22.10.2018,24.10.2018,ACTED,Bambari,2019,ACT_BAM_20180609,NFI,88,85,,65,91,97,79,95,95,96,,61,91,97,74,91,94,86,,Ouaka,Bambari,Bambari,20.6542,5.7648
676741020,26.06.2015,23.06.2015,25.06.2015,ACF,Sanguere,2015,DRC_SAN_20150225,NFI - WASH,,,98,,99,98,,,,99,90,,86,88,,,,87,,Ouham Pende,Koui,Koui,15.092977,6.755639
,05.04.2018,05.04.2018,05.04.2018,ACF,Ndim,2018,ACF_MBO_20180105,NFI - WASH,100,85,100,83,94,100,100,100,100,100,92,91,83,79,81,92,76,89,,Ouham Pende,Ngaoundaye,Dilouki,15.769,7.254
,03.12.2018,19.09.2018,26.09.2018,ACF,Bossabina 2,2018,ACF_BOS_20180424,NFI-WASH,96,89,99,79,99,100,97,100,94,100,91,96,95,79,83,99,79,89,,Ouham Pende,Koui,Koui,17.445646,6.490976
,28.06.2018,16.05.2018,16.05.2018,ACF,Vakap,2018,ACF_VAK_20180219,NFI - WASH,99,92,100,76,98,100,92,99,100,98,100,96,95,86,87,95,91,90,,Nana-Mambere,Bouar,Herman-Brousse,15.542249,6.160218
267197495,31.05.2016,12.05.2016,15.05.2016,PU-AMI,Gbambia,2016,PU_GBA_20160217,NFI - WASH,,,98,,99,100,,,,100,95,,94,94,,,,94,,Mambere-Kadei,Amada-Gaza,Haute-Boumbe,14.985558,4.791097
