"type","id","locationName","partnerName","activity","activityName","startDate","endDate","Population_affectee_total_menages","Nombre_de_localités.villages.sites_afféctés","Population_affectee_total_individus","Acces_humanitaire.Oui","Acces_humanitaire.Non_securite","Acces_humanitaire.Non_logistique","Acces_humanitaire.Non_autre","Continue_Investigation.Non","Continue_Investigation.Oui","Alerte_en_cours.Non","Alerte_en_cours.Oui","Nature_du_choc.Violences","Nature_du_choc.Catastrophe_naturelle","Nature_du_choc.Autre","Population_affectee.Deplaces","Population_affectee.Communaute_hote","Population_affectee.Retours","Population_affectee.Autre","type.1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","acces","continu","alerte_cours","nature","pop_affect"
"Feature","3470720","Bedoua 1","DRC","16228","ALERTES","2015-04-22","2015-04-22","72","3","0","Non - logistique",NA,NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Oui","Oui","Non","Non","Point","7.602153,16.458098","16.458098","7.602153","2015-04","2015","Yadé","Ouham Pendé","Paoua","Mia-Péndé","Non - logistique","Non","Non","Violence","Oui Oui Non Non"
"Feature","5582296","Ore","PU-AMI","16228","ALERTES","2015-02-13","2015-02-13","50","1","250","Non - logistique",NA,NA,NA,"Non",NA,"0","Oui","Violence",NA,"0","Non","Non","Oui","Non","Point","4.364897,15.082169","15.082169","4.364897","2015-02","2015","Equateur","Mambéré-Kadéï","Gamboula","Basse-Boumné","Non - logistique","Non","Oui","Violence","Non Non Oui Non"
"Feature","10343474","Ouazzoua","ACTED","16228","ALERTES","2015-01-12","2015-01-12","0","0","226","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui",NA,"Castastrophe naturelle","0","Non","Oui","Non","Non","Point","4.27040833333333,22.4184611111111","22.4184611111111","4.27040833333333","2015-01","2015","Haut-Oubangui","Mbomou","Ouango","Ouango","Non - logistique","Oui","Oui","Castastrophe naturelle","Oui Non Non Non"
"Feature","39157073","Kouki","ACF","16228","ALERTES","2015-01-24","2015-01-24","1400","1","7000","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Non","Oui","Oui","Non","Point","7.166343,17.309082","17.309082","7.166343","2015-01","2015","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","Non - logistique","Oui","Oui","Violence","Oui Non Oui Non"
"Feature","86995938","Bamingui","PU-AMI","16228","ALERTES","2015-03-20","2015-03-20","0","4","709","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Oui","Non","Point","7.530107,20.179799","20.179799","7.530107","2015-03","2015","Fertit","Bamingui-Bangoran","Bamingui","Vassako","Non - logistique","Oui","Oui","Violence","Non Oui Oui Non"
"Feature","92204259","Bowara","ACF","16228","ALERTES","2015-04-17","2015-04-17","1000","1","5000","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Non","Non","Oui","Non","Point","7.16976111111,17.38420555556","17.38420555556","7.16976111111","2015-04","2015","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","Non - logistique","Oui","Oui","Violence","Non Non Oui Non"
"Feature","97397017","Sanguere","DRC","16228","ALERTES","2015-02-25","2015-02-25","0","0","0",NA,"Oui","Non - sécurité",NA,"Non",NA,"0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","6.755639,15.092977","15.092977","6.755639","2015-02","2015","Yadé","Ouham Pendé","Koui","Koui","Oui Non - sécurité","Non","Oui","Violence","Non Oui Non Non"
"Feature","98674923","Krakoundji","ACTED","16228","ALERTES","2015-04-18","2015-04-18","0","1","0","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","5.42069444444,20.31916666667","20.31916666667","5.42069444444","2015-04","2015","Kagas","Ouaka","Bambari","Pladama-Ouaka","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","250179817","Tiri","PU-AMI","16228","ALERTES","2015-03-20","2015-03-20","85","1","400","Non - logistique",NA,NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Oui","Non","Oui","Non","Point","8.59911666667,20.39944722222","20.39944722222","8.59911666667","2015-03","2015","Fertit","Bamingui-Bangoran","Ndélé","Dar El Kouti","Non - logistique","Non","Non","Violence","Non Oui Oui Non"
"Feature","258280725","Maraomba","SI","16228","ALERTES","2015-03-28","2015-04-08","0","2","0",NA,"Oui",NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Oui","Non","Non","Non","Point","6.671497,19.723714","19.723714","6.671497","2015-03","2015","Kagas","Nana-Gribizi","Mbrès","Mbrés","Oui","Non","Non","Violence","Non Oui Non Non"
"Feature","263588568","Bamatara","SI","16228","ALERTES","2015-04-22","2015-04-28","0","3","0",NA,"Oui",NA,NA,NA,"Oui","1","Non","Violence",NA,"0","Oui","Non","Non","Non","Point","7.00469722222,19.05079722222","19.05079722222","7.00469722222","2015-04","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Botto","Oui","Oui","Non","Violence","Non Oui Non Non"
"Feature","306076340","Andjikapa","ACTED","16228","ALERTES","2015-03-08","2015-03-12","41","1","204","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","4.744444444,20.75083333","20.75083333","4.744444444","2015-03","2015","Haut-Oubangui","Basse-Kotto","Zangba","Yabongo","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","312457049","Dembia","ACTED","16228","ALERTES","2015-03-17","2015-03-17","800","7","4000","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui",NA,NA,"1","Non","Non","Oui","Non","Point","5.10271111111,24.46391388889","24.46391388889","5.10271111111","2015-03","2015",NA,NA,NA,NA,"Non - logistique","Oui","Oui","NA","Non Non Oui Non"
"Feature","318370307","Kouki","ACF","16228","ALERTES","2015-03-25","2015-03-25","1400","1","7000","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Non","Non","Oui","Non","Point","7.166343,17.309082","17.309082","7.166343","2015-03","2015","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","Non - logistique","Oui","Oui","Violence","Non Non Oui Non"
"Feature","367573177","Kaboro","ACF","16228","ALERTES","2015-03-05","2015-03-05","120","1","559","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Oui","Non","Non","Point","6.97083333333,17.52944444444","17.52944444444","6.97083333333","2015-03","2015","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","Non - logistique","Oui","Oui","Violence","Oui Oui Non Non"
"Feature","376119755","Doukoumbe","SI","16228","ALERTES","2015-04-08","2015-04-14","1187","7","5935",NA,"Oui",NA,NA,NA,"Oui","1","Non","Violence",NA,"0","Oui","Non","Non","Non","Point","6.95701388889,19.03696666667","19.03696666667","6.95701388889","2015-04","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Botto","Oui","Oui","Non","Violence","Non Oui Non Non"
"Feature","429035724","Zere","ACF","16228","ALERTES","2015-04-04","2015-04-04","60","2","0","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","6.442893,17.67561","17.67561","6.442893","2015-04","2015","Yadé","Ouham","Bossangoa","Soumbé","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","441603790","Goussoubanda","ACTED","16228","ALERTES","2015-03-12","2015-03-12","85","0","410","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Oui","Non","Point","5.895595,20.559548","20.559548","5.895595","2015-03","2015","Kagas","Ouaka","Bambari","Pladama-Ouaka","Non - logistique","Oui","Oui","Violence","Non Oui Oui Non"
"Feature","451275810","Dimbi","ACTED","16228","ALERTES","2015-01-12","2015-01-12","0","0","18000","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","4.624735,21.72028","21.72028","4.624735","2015-01","2015","Haut-Oubangui","Basse-Kotto","Kembé","Kembé","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","478462329","Bouanga","ACF","16228","ALERTES","2015-04-15","2015-04-15","50","1","250","Non - logistique",NA,NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Oui","Non","Non","Non","Point","6.23685277778,15.58861388889","15.58861388889","6.23685277778","2015-04","2015","Equateur","Nana-Mambéré","Bouar","Herman-Brousse","Non - logistique","Non","Non","Violence","Non Oui Non Non"
