SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,Axe,Cluster_NFI_Abris_CCCM,Cluster_Log,MINUSCA_CIMCOORD,Cluster_Protection,CCCM,FAO_ICC,Cluster_Sante,Cluster_WASH,ICC,Securisation_zone,Rehabilitation_infrastructure,SOP_listes_distribution,Demande_appui_acteurs_humanitaire,Grand_nb_deplaces,En_cours,Cloture,Code_Prefecture,SousPrefecture,Code_SousPrÃ©fecture,Prefecture,Code_Commune,Commune,Code_Arrondissement,Arrondissement,Longitude,Latitude
1296830872,29.07.2015,29.07.2015,29.07.2015,DRC,Bedoua 1,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,Paoua,,Ouham Pende,,Mia-Pende,,,16.458098,7.602153
821977878,22.07.2015,22.07.2015,22.07.2015,DRC,Bolgue,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,Markounda,,Ouham,,Nana Markounda,,,17.005704,7.273226
1730465266,22.07.2015,22.07.2015,22.07.2015,ACF,Baboua,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,Baboua,,Nana-Mambere,,Baboua,,,14.832919,5.806589
24690839,15.07.2015,15.07.2015,15.07.2015,ACTED,Daba,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,Bria,,Haute-Kotto,,Daba Nydou,,,22.4211,6.357161
120624807,15.07.2015,15.07.2015,15.07.2015,PU-AMI,N'délé,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,Ndele,,Bamingui-Bangoran,,,,,20.653056,8.409167
105183485,08.07.2015,08.07.2015,08.07.2015,ACF,Bodé,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,Batangafo,,Ouham,,Batangafo,,,17.428594,7.171736
118059189,13.07.2015,01.07.2015,01.07.2015,ACTED,Bria,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,Bria,,Haute-Kotto,,Samba-Boungou,,,21.991405,6.537415
1085391480,01.07.2015,01.07.2015,01.07.2015,ACF,Baboua,,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,Baboua,,Nana-Mambere,,Baboua,,,14.832919,5.806589
1227105218,25.06.2015,24.06.2015,24.06.2015,PU-AMI,Nola,,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,,Nola,,Sangha-Mbaere,,Nola,,,16.04494,3.524026
168186133,19.06.2015,17.06.2015,17.06.2015,DRC,Marzé,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,Bouca,,Ouham,,,,,18.778981,6.847689
880719438,03.06.2015,03.06.2015,03.06.2015,PU-AMI,Berberati,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,,Berberati,,Mambere-Kadei,,Basse-Batouri,,,15.787529,4.255473
