ID	X_longitud	Y_Latitude	geo	prefecture	sous_prefecture	commune	Village	ONG	Start	Month	End	Catastrophe naturelle	Violences	Autre	Deplacement de IDPs	Retours	Communaute hoste	Autre	Oui	Non - logistique	Non - securite	Non - autre	Neant	Mission exploratoire	MSA	Intervention	Post Intervention	Autre	Axe	update_me0ge_IDPs	update_ind_idps	update_menage_benef	update_ind_benef	Score_NFI	Proportion_des_menages_qui_habitentdans_un_abri_en_mauvais_etat_nerepondant_pas_aux_standards_locaux	nhabitent_pas_dans_leurs_propres_maisons	familles_daccueil	Pas_dabris	Nombre_moyen_de_m?tre_carre_parpersonne_habitant_un_m?me_abri	Taux_de_diarrhee_chez_les_enfants_de_moins_de_5_ans_au_cours_des_2_dernieres_semaines	latrines_hygieniques	latrines	latrines_non_hygieniques	_lavage_desmains	3_moments_cles	source_deau_?_boire_salubre	acc?s_facile	CSA_General	CSA_Acceptable	Limite	Pauvre	Indice_simplifie_de_strategie_de_survie	1_semaine_et_moins	2_semaines	3_semaines	4_semaines	Plus_de_4_semaines	1_repas	2_repas	3_repas	Variation_repas	Propre_production	Achat_au_Marche	Dons	Aide_alimentaire	Autres	Vente_produit_agricole	Travail_journalier	Petit_commerce_nonagricole	Exploitation_mini?re	Vente_produit_animauxet_de_p?che	Autre	Indice_securite	Proportion_de_cas_de_violences_sexuellessurvenus_dans_un_contexte_lie_?_l’eau_et_?l’assainissement	%_d’ecole_fonctionnelle_dans_la_localite	%_de_salles_de_classe_avec_toiture_ou_mur	Proportion_d’enseignants_qui_encadrent_plus_de55_el?ves	Non_scolarises_%	Taux_de_frequentation	Taux_de_mortalite_des_moins_de_5_ans_pour10.000_enfants_par_jour_(dec?s_10.000_jour)	Taux_brut_de_mortalite_pour_10.000	Diarrhees	Palu	Fi?vre	Toux	IRA	Diarrhees	Palu	Fi?vre	Toux	Malnutrition	diarrhee	paludisme	_IRA	ARV	Medicaments_pour_la_TB	Kwashiorkor	Marasme	Nb_de_guerisons	Nb_dabandons	Nb_de_dec?s	Transfer_UNTA	Violence	Status
ACF_2014_06	17.548962	6.914322	"6.914322,17.548962"	Ouham	Bossangoa	Ben Zambe	Bombere-Kota	ACF	05-08-14	08-2014	05-08-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				0.00	0.00	0	0	4.4	57	0	0	0	3.4	51	4	16	0	0	0	0	0	0	7.9	32.9	7.9	0	92	7	1	0	0	0	0	0	0	39	34	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACF_2014_07	18.279259	6.502576	"6.502576,18.279259"	Ouham	Bouca	Bouca Bobo	Bouca	ACF	15-05-14	05-2014	15-05-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	FALSE				36.00	180.00	1465	7323	3.8	15	95	0	0	1.3	27	0	0	95	0	0	100	0	0	92.7	4.9	2.4	6.9	75.6	7.3	12.2	4.9	0	0	0	0	0	9	84	2	0	5	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	MSA
ACF_2014_09	18.540138	6.931892	"6.931892,18.540138"	Ouham	Bouca	Lady Gbawi	Boya	ACF	24-07-14	07-2014	25-07-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				598.00	2992.00	663	3313	4.5	14	0	0	0	1.5	36	0	20	0	0	0	14	0	0	5	30	65	0	100	0	0	0	0	0	0	0	0	2	41	26	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	1.3	36	32	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACF_2014_10	17.386292	6.58585	"6.58585,17.386292"	Ouham	Bossangoa	Ndoro Mboli	Bozelet 2	ACF	16-06-14	06-2014	16-06-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				115.00	705.00	141	705	4.3	59	0	0	0	4.7	40	0	0	19	0	0	86	0	0	11	37	52	0	63	22	7	1	7	0	0	0	0	45	52	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	44	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACF_2014_12	17.29809	7.156851	"7.156851,17.29809"	Ouham	Nana-Bakassa	Nana-Bakassa	Gpt Kouki	ACF	03-06-14	06-2014	03-06-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	FALSE				1600.00	8000.00	0	0	4.1	90	24	0	0	3.5	38	0	0	16	0	0	32	0	0	3.8	45.6	50.6	0	82	6	4	6	2	0	0	0	0	21	67	1	1	10	0	0	0	0	0	0	0	0	0	6.7	0	0	0	0.9	0.3	38	 	43	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	MSA
ACF_2014_13	18.341786	7.039921	"7.039921,18.341786"	Ouham	Bouca	Lady Gbawi	Gbakoui	ACF	19-08-14	08-2014	19-08-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				2010.00	10052.00	0	0	4.6	9	0	0	0	2	21	1	45	0	0	0	67	0	0	10	19	71	0	100	0	0	0	0	0	0	0	0	1	55	17	6	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	34	0	0	0	10	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACF_2014_18	19.081939	5.727482	"5.727482,19.081939"	Kemo	Sibut	Sibut	Sibut	ACF	05-06-14	06-2014	05-06-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				133.00	667.00	231	1157	4.3	2	0	0	0	3.9	35	5	90	0	0	0	64	0	0	28	29	43	18.4	96	3	1	0	0	0	0	0	0	2	67	13	4	14	0	0	0	0	0	0	0	0	100	11	0	0	0	1.5	0.3	35	55	 	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACF_2014_21	15.753291	6.343725	"6.343725,15.753291"	Nana-Mambere	Bouar	Herman-Brousse	Djalinga	ACF	24-06-14	06-2014	24-06-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				0.00	0.00	0	0	4.1	23	0	0	0	3.1	29	0	0	0	0	0	0	0	0	21.2	34.8	43.9	0	95	2	0	2	2	0	0	0	0	27	52	4	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	0.3	29	72	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
ACTED_2014_02	20.11246	5.850333	"5.850333,20.11246"	Ouaka	Grimari	Lissa	Djangala	ACTED	09-06-14	06-2014	12-06-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	FALSE				0.00	0.00	0	0	4.2	0	29	7	0	2.8	30	0	0	34	5	2	0	0	0	25	37	38	0	95	5	0	0	0	83/63	16/35	1	0	26	48	8	0	10	0	0	0	0	0	0	0	1	0	0	0	100	0	10.1	3.2	30	40	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	MSA
ACTED_2014_06	20.654183	5.764845	"5.764845,20.654183"	Ouaka	Bambari	Bambari	Bambari	ACTED	28-06-14	06-2014	30-06-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	FALSE				2590.00	15144.00	2166	10830	3.9	0	100	0	0	0.2/0.36/0.3	31	12	0	69	45	24	35	27	0	18	36	46	13.6	55	18	7	20	0	94/87	05-Nov	0	1	13	66	0	0	21	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	31	14	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	MSA
