"type","id","locationName","partnerName","activity","activityName","startDate","endDate","Population_affectee_menages","Population_affectee_individus","Proposition_d.action.Plaidoyer_acces_securitaire","Proposition_d.action.Monitoring_protection","Proposition_d.action.Intervention.s._directe.s.","Proposition_d.action.MSA_complete","Proposition_d.action.Rehabilitation_acces_logistique","Proposition_d.action.Evaluation_sectorielle","Proposition_d.action.Autre","Proposition_d.action.Suivi_du_retour_des_déplacés","Nature_du_choc.Violence","Nature_du_choc.Catastrophe_naturelle","Type_de_population.Deplaces","Type_de_population.Retours","Type_de_population.Autre","Type_de_population.Communaute_hote","type.1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","pop_type","proposition","Nature_choc"
"Feature","54140340","Agoumar","ACTED","16227","MISSION EXPLORATOIRE","2015-03-05","2015-03-05","610","3050","Plaidoyer_acces_securitaire",NA,NA,NA,NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","4.993979,23.917023","23.917023","4.993979","2015-03","2015","Haut-Oubangui","Mbomou","Rafai","Rafai","Deplaces","Plaidoyer_acces_securitaire","Violence"
"Feature","80853174","Mbandjifolo","PU-AMI","16227","MISSION EXPLORATOIRE","2015-03-19","2015-03-19","180","900",NA,"Monitoring_protection",NA,NA,NA,NA,NA,NA,"Violence",NA,"Deplaces","Retours",NA,NA,"Point","4.0758333,15.2555556","15.2555556","4.0758333","2015-03","2015","Equateur","Mambéré-Kadéï","Gamboula","Basse-Boumné","Deplaces Retours","Monitoring_protection","Violence"
"Feature","293760002","Goussoubanda","ACTED","16227","MISSION EXPLORATOIRE","2015-03-12","2015-03-12","85","410",NA,NA,"Intervention_directe",NA,NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","5.895595,20.559548","20.559548","5.895595","2015-03","2015","Kagas","Ouaka","Bambari","Pladama-Ouaka","Deplaces","Intervention_directe","Violence"
"Feature","379899427","Botto","SI","16227","MISSION EXPLORATOIRE","2015-03-02","2015-03-02","1513","0",NA,NA,NA,"MSA_complete",NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","4.901174,20.147398","20.147398","4.901174","2015-03","2015","Kagas","Ouaka","Kouango","Kouango","Deplaces","MSA_complete","Violence"
"Feature","436052509","Andjikapa","ACTED","16227","MISSION EXPLORATOIRE","2015-03-12","2015-03-12","41","204",NA,NA,"Intervention_directe",NA,NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","4.744444444,20.75083333","20.75083333","4.744444444","2015-03","2015","Haut-Oubangui","Basse-Kotto","Zangba","Yabongo","Deplaces","Intervention_directe","Violence"
"Feature","492408393","Nao","PU-AMI","16227","MISSION EXPLORATOIRE","2015-03-05","2015-03-05","20","0","Plaidoyer_acces_securitaire",NA,NA,NA,"Rehabilitation_acces_logistique","Evaluation_sectorielle",NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","4.526812,15.318057","15.318057","4.526812","2015-03","2015","Equateur","Mambéré-Kadéï","Berbérati","Ouakanga","Deplaces","Plaidoyer_acces_securitaire Rehabilitation_acces_logistique Evaluation_sectorielle","Violence"
"Feature","684439432","Bofire","ACF","16227","MISSION EXPLORATOIRE","2015-02-20","2015-02-20","243","1215",NA,NA,NA,"MSA_complete",NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","6.71861,17.766026","17.766026","6.71861","2015-02","2015","Yadé","Ouham","Bossangoa","Ben Zambé","Deplaces","MSA_complete","Violence"
"Feature","783922475","Mbada","DRC","16227","MISSION EXPLORATOIRE","2015-03-12","2015-03-12","273","1248",NA,NA,NA,"MSA_complete",NA,NA,NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","6.865547,18.562368","18.562368","6.865547","2015-03","2015","Yadé","Ouham","Bouca","Lady Gbawi","Deplaces","MSA_complete","Violence"
"Feature","860958585","Gbakara","ACF","16227","MISSION EXPLORATOIRE","2015-02-23","2015-02-23","13","65",NA,NA,NA,NA,NA,"Evaluation_sectorielle",NA,NA,NA,"Catastrophe_naturelle","Deplaces",NA,NA,NA,"Point","6.436505,17.641028","17.641028","6.436505","2015-02","2015","Yadé","Ouham","Bossangoa","Soumbé","Deplaces","Evaluation_sectorielle","Catastrophe_naturelle"
"Feature","994354173","Bombere-Kota","ACF","16227","MISSION EXPLORATOIRE","2015-01-28","2015-01-28","76","399",NA,NA,"Intervention_directe",NA,NA,"Evaluation_sectorielle",NA,NA,"Violence",NA,"Deplaces",NA,NA,NA,"Point","6.914322,17.548962","17.548962","6.914322","2015-01","2015","Yadé","Ouham","Bossangoa","Ben Zambé","Deplaces","Intervention_directe Evaluation_sectorielle","Violence"
