"field","id","locationName","partnerName","activity","activityName","startDate","endDate","MSAcount","score_de_Consommation_alimentaire_Pauvre","Individus_IDPs","des_menages_ayant_acces_a_une_latrine_hygienique","de_menages_vivant_ds_un_abris_en_dessous_des_standard","Menage_retournes","Menages_hote","Score_NFI","Individus_returnes","score_de_Consommation_alimentaire_Limite","score_de_Consommation_alimentaire_Acceptable","Individus_hote","decole_fonctionnelles","Menage_IDPs","Score_startegie_de_survie","des_menages_avec_un_source_deau_potable_amelioree","Score_Consommation_alimentaire","Taudiarrhee_chez_les_enfants_de_moins_de_5_ans__au_cours_des_2_dernieres_semaines","Recommandations_du_MSAPas_dintervention","Recommandations_du_MSAIntervention_SanteNutrition","Recommandations_du_MSASecurite_Alimentaire","Recommandations_du_MSAIntervention_AbrisNFI","Recommandations_du_MSAIntervention_EAH","Recommandations_du_MSA_Intervention_Protection","Recommandations_du_MSA_Intervention_Education","Raison_pour_annulation","Raison_pour_stand_by","Statut_Complete","type1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","recommandation","score_de_Consommation_alimentaire_PauvreBorder"
"Feature","10291796","Gandamba","ACTED","16230","MSA","2014-05-09","2014-05-12","1e+06","0-20%","9632","0-20%","0-20%","0","0","4.1","0","20-39%","40-59%","0","0-20%","632","0","20-39%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.744777,20.034118","20.034118","5.744777","2014-05","2014","Kagas","Ouaka","Grimari","Grimari","Pas_d'intervention","40-59%"
"Feature","67619382","Kaga-Bandoro","IRC","16230","MSA","2014-04-30","2014-04-30","1e+06","0-20%","0","0-20%","0-20%","0","0","4.6","0","0-20%","0-20%","0","0-20%","3700","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.990379,19.191543","19.191543","6.990379","2014-04","2014","Kagas","Nana-Gribizi","Kaga-Bandoro","Kaga-Bandoro","Pas_d'intervention","0-20%"
"Feature","89542407","Bozelet 2","ACF","16230","MSA","2014-06-15","2014-06-15","1e+06","40-59%","705","0-20%","40-59%","0","0","4.3","0","20-39%","0-20%","0","0-20%","115","0","80-100%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.58585,17.386292","17.386292","6.58585","2014-06","2014","Yadé","Ouham","Bossangoa","Ndoro Mboli","Pas_d'intervention","80-100%"
"Feature","135154612","Sabewa","ACF","16230","MSA","2015-02-19","2015-02-19","1e+06","0-20%","1575","80-100%","0-20%","0","0","4","0","40-59%","20-39%","0","0-20%","402","0","0-20%","40","36",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","6.66801666666667,14.9826055555556","14.9826055555556","6.66801666666667","2015-02","2015","Equateur","Nana-Mambéré","Bouar","Niem-Yelewa","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","60-79%"
"Feature","189584783","Bolele","IRC","16230","MSA","2014-06-11","2014-06-12","1e+06","20-39%","0","0-20%","80-100%","0","0","4","0","20-39%","40-59%","14000","40-59%","0","18.4","40-59%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.883931,15.689212","15.689212","6.883931","2014-06","2014","Yadé","Ouham Pendé","Bocaranga","Péndé","Pas_d'intervention","40-59%"
"Feature","214778174","Boya","ACF","16230","MSA","2014-07-23","2014-07-24","1e+06","60-79%","2992","0-20%","0-20%","0","0","4.5","0","20-39%","0-20%","832","0-20%","0","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.931892,18.540138","18.540138","6.931892","2014-07","2014","Yadé","Ouham","Bouca","Lady Gbawi","Pas_d'intervention","80-100%"
"Feature","240948762","Batangafo","DRC","16230","MSA","2014-08-14","2014-08-15","1e+06","20-39%","17000","0-20%","0-20%","0","0","3.8","0","20-39%","40-59%","29539","0-20%","0","0","80-100%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","7.300987,18.285135","18.285135","7.300987","2014-08","2014","Yadé","Ouham","Batangafo","Batangafo","Pas_d'intervention","40-59%"
"Feature","246920032","Bokonde","SI","16230","MSA","2014-04-10","2014-04-10","1e+06","0-20%","0","0-20%","0-20%","0","0","4.2","326","0-20%","40-59%","0","0-20%","0","0","80-100%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","7.899799,18.680748","18.680748","7.899799","2014-04","2014","Yadé","Ouham","Kabo","Sido","Pas_d'intervention","0-20%"
"Feature","270018408","Ngakobo","ACTED","16230","MSA","2015-02-19","2015-02-21","1e+06","0-20%","5770","0-20%","0-20%","0","0","3.9","0","0-20%","20-39%","0","80-100%","0","0","80-100%","0","31","Pas_d'intervention",NA,NA,NA,NA,"0","0","1","1","1","Point","5.339652,20.730846","20.730846","5.339652","2015-02","2015","Kagas","Ouaka","Bambari","Ngougbia","Pas_d'intervention","0-20%"
"Feature","277876994","Bambari","ACTED","16230","MSA","2014-06-13","2014-06-14","1e+06","60-79%","219","0-20%","0-20%","0","0","4.7","0","20-39%","0-20%","0","0-20%","0","0","60-79%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.764845,20.654183","20.654183","5.764845","2014-06","2014","Kagas","Ouaka","Bambari","Bambari","Pas_d'intervention","80-100%"
