dist,shelter,gov_syr,arriv,gender,age_brakets
D06,Tent and caravan ,DAR'A,2012/12,Male,60+
D02,Caravan ,DAR'A,2012/10,Female,60+
D11,Caravan ,DAR'A,2013/07,Male,60+
D03,Caravan ,DAR'A,2013/01,Male,60+
D03,Caravan ,DAR'A,2013/01,Female,60+
D07,Caravan ,DAR'A,2013/01,Female,60+
D01,Caravan ,DAR'A,2012/12,Female,60+
D05,Caravan ,DAR'A,2013/02,Female,60+
D11,Caravan ,DAR'A,2013/10,Male,60+
D03,Tent and caravan ,DAR'A,2012/09,Male,60+
D03,Tent and caravan ,DAR'A,2012/09,Female,60+
D02,Caravan ,DAR'A,2012/07,Male,60+
D02,Caravan ,DAR'A,2012/07,Female,60+
D01,Tent and caravan ,DAR'A,2013/06,Female,60+
D04,Caravan ,DAR'A,2013/03,Male,60+
D05,Caravan ,RURAL DAMASCUS,2014/03,Male,60+
D05,Caravan ,RURAL DAMASCUS,2014/03,Female,60+
D04,Tent and caravan ,DAR'A,2013/03,Male,60+
D09,Caravan ,DAR'A,2013/01,Female,60+
D09,Caravan ,DAR'A,2013/04,Male,60+
D02,Caravan ,DAR'A,2012/08,Female,60+
D11,Caravan ,DAR'A,2013/12,Female,60+
D12,Caravan ,DAR'A,2013/01,Male,60+
D12,Caravan ,DAR'A,2013/05,Male,60+
D12,Caravan ,DAR'A,2013/05,Female,60+
D11,Caravan ,DAR'A,2012/12,Male,60+
D10,Caravan ,DAR'A,2013/01,Male,60+
D11,Caravan ,DAR'A,2013/09,Female,60+
D03,Caravan ,DAR'A,2012/11,Female,60+
D02,Caravan ,DAR'A,2012/11,Male,60+
D02,Caravan ,DAR'A,2012/09,Female,60+
D10,Caravan ,DAR'A,2012/11,Male,60+
D01,Caravan ,DAR'A,2013/01,Male,60+
D01,Caravan ,DAR'A,2013/01,Female,60+
D08,Caravan ,DAR'A,2013/04,Male,60+
D10,Caravan ,DAR'A,2012/11,Male,60+
D02,Caravan ,DAR'A,2012/11,Male,60+
D02,Caravan ,DAR'A,2012/11,Female,60+
D03,Caravan ,DAR'A,2012/11,Female,60+
D08,Tent and caravan ,HOMS,2014/02,Female,60+
D04,Caravan ,DAR'A,2012/09,Male,60+
D03,Tent and caravan ,DAR'A,2013/02,Female,60+
D11,Tent and caravan ,DAR'A,2013/01,Male,60+
D06,Caravan ,DAR'A,2014/01,Male,60+
D04,Caravan ,DAR'A,2013/04,Female,60+
D10,Caravan ,DAR'A,2013/03,Male,60+
D12,Caravan ,DAR'A,2012/12,Male,60+
D12,Caravan ,DAR'A,2012/12,Female,60+
D08,Caravan ,DAR'A,2013/03,Male,60+
D04,Caravan ,DAR'A,2013/01,Male,60+
D04,Caravan ,DAR'A,2013/01,Female,60+
D12,Tent and caravan ,DAR'A,2013/03,Male,60+
D12,Tent and caravan ,DAR'A,2013/03,Female,60+
D07,Tent and caravan ,RURAL DAMASCUS,2014/04,Female,60+
D02,Caravan ,DAR'A,2013/01,Male,60+
D10,Caravan ,DAR'A,2013/03,Male,60+
D10,Caravan ,DAR'A,2012/08,Female,60+
D01,Caravan ,DAR'A,2013/04,Male,60+
D11,Caravan ,DAR'A,2013/01,Male,60+
D02,Caravan ,DAR'A,2013/04,Female,60+
D03,Caravan ,DAR'A,2013/02,Female,60+
D01,Caravan ,DAR'A,2012/08,Male,60+
D07,Caravan ,DAR'A,2014/02,Female,60+
D10,Caravan ,DAR'A,2013/01,Female,60+
D11,Caravan ,DAR'A,2012/07,Male,60+
D04,Caravan ,DAR'A,2012/11,Female,60+
D11,Tent and caravan ,DAR'A,2013/01,Male,60+
D11,Tent and caravan ,DAR'A,2013/01,Female,60+
D05,Caravan ,HOMS,2013/05,Female,60+
D05,Caravan ,DAMASCUS,2014/01,Female,60+
D10,Tent ,DAR'A,2014/01,Male,60+
D11,Caravan ,DAR'A,2012/08,Male,60+
D11,Caravan ,DAR'A,2013/01,Female,60+
D09,Tent ,DAR'A,2013/10,Female,60+
D11,Caravan ,DAR'A,2013/03,Female,60+
D02,Caravan ,DAR'A,2012/07,Male,60+
D02,Caravan ,DAR'A,2012/11,Female,60+
D11,Caravan ,DAR'A,2013/12,Male,60+
D11,Caravan ,DAR'A,2013/12,Female,60+
D09,Caravan ,DAR'A,2013/01,Female,60+
D11,Caravan ,DAR'A,2013/01,Male,60+
D02,Caravan ,DAR'A,2013/04,Male,60+
D02,Caravan ,DAR'A,2013/04,Female,60+
D11,Caravan ,DAR'A,2013/03,Female,60+
D01,Caravan ,DAR'A,2012/07,Male,60+
D07,Caravan ,DAR'A,2013/01,Female,60+
D05,Caravan ,RURAL DAMASCUS,2013/04,Male,60+
D11,Caravan ,DAR'A,2013/02,Female,60+
D09,Caravan ,DAR'A,2013/09,Male,60+
D09,Caravan ,DAR'A,2013/09,Female,60+
D12,Caravan ,DAR'A,2013/01,Male,60+
D12,Caravan ,DAR'A,2012/10,Female,60+
D09,Caravan ,DAR'A,2013/06,Female,60+
D02,Caravan ,DAR'A,2013/03,Male,60+
D02,Caravan ,DAR'A,2013/03,Female,60+
D01,Tent and caravan ,DAR'A,2012/12,Male,60+
D02,Caravan ,DAR'A,2014/06,Female,60+
D09,Caravan ,DAR'A,2013/07,Male,60+
D08,Caravan ,DAR'A,2013/03,Male,60+
D08,Caravan ,RURAL DAMASCUS,2013/03,Male,60+
D04,Caravan ,DAR'A,2013/10,Male,60+
D04,Caravan ,DAR'A,2013/10,Female,60+
D09,Caravan ,DAR'A,2013/03,Male,60+
D08,Tent and caravan ,DAR'A,2013/02,Male,60+
D06,Caravan ,DAR'A,2012/12,Female,60+
D05,Tent and caravan ,AR-RAQQA,2013/02,Male,60+
D03,Caravan ,DAR'A,2013/01,Male,60+
D03,Caravan ,DAR'A,2013/01,Female,60+
D01,Caravan ,DAR'A,2013/04,Male,60+
D01,Caravan ,DAR'A,2013/04,Female,60+
D04,Caravan ,DAR'A,2012/08,Male,60+
D04,Caravan ,DAR'A,2012/08,Female,60+
D08,Tent and caravan ,RURAL DAMASCUS,2014/01,Female,60+
D12,Caravan ,DAR'A,2013/01,Male,60+
D12,Caravan ,DAR'A,2013/01,Female,60+
D01,Caravan ,DAR'A,2013/07,Male,60+
D07,Caravan ,DAR'A,2013/01,Male,60+
D07,Caravan ,DAR'A,2013/01,Female,60+
D12,Caravan ,DAR'A,2013/09,Male,60+
D03,Caravan ,DAR'A,2012/12,Female,60+
D04,Caravan ,DAR'A,2013/03,Male,60+
D04,Caravan ,DAR'A,2013/03,Female,60+
D11,Tent and caravan ,DAR'A,2012/09,Male,60+
D12,Caravan ,DAR'A,2013/02,Female,60+
D11,Caravan ,DAR'A,2014/03,Female,60+
D06,Caravan ,DAR'A,2013/09,Male,60+
D06,Caravan ,DAR'A,2013/09,Female,60+
D11,Caravan ,DAR'A,2013/03,Female,60+
D09,Caravan ,DAR'A,2013/02,Female,60+
D01,Caravan ,DAR'A,2013/02,Male,60+
D01,Caravan ,DAR'A,2013/02,Female,60+
D06,Caravan ,DAR'A,2012/08,Female,60+
D08,Caravan ,RURAL DAMASCUS,2014/01,Female,60+
D01,Caravan ,DAR'A,2013/02,Female,60+
D07,Caravan ,RURAL DAMASCUS,2013/01,Female,60+
D03,Caravan ,DAR'A,2012/09,Male,60+
D10,Caravan ,DAR'A,2012/10,Female,60+
D05,Caravan ,DAR'A,2013/04,Female,60+
D05,Caravan ,DAR'A,2013/04,Female,60+
D02,Caravan ,DAR'A,2014/09,Female,60+
D01,Caravan ,DAR'A,2013/04,Male,60+
D01,Caravan ,DAR'A,2013/04,Female,60+
D04,Caravan ,DAR'A,2013/01,Female,60+
D02,Caravan ,DAR'A,2012/08,Male,60+
D04,Caravan ,DAR'A,2013/02,Female,60+
D04,Caravan ,DAR'A,2013/02,Male,60+
D06,Caravan ,DAR'A,2014/01,Female,60+
D06,Tent ,RURAL DAMASCUS,2014/01,Female,60+
D11,Caravan ,DAR'A,2013/01,Male,60+
D11,Caravan ,DAR'A,2013/01,Female,60+
D08,Tent and caravan ,RURAL DAMASCUS,2014/04,Male,60+
D11,Caravan ,DAR'A,2013/01,Female,60+
D12,Caravan ,DAR'A,2013/02,Female,60+
D12,Caravan ,DAR'A,2013/02,Female,60+
D02,Caravan ,DAR'A,2012/11,Female,60+
D03,Tent and caravan ,DAR'A,2012/10,Female,60+
D04,Tent ,RURAL DAMASCUS,2014/09,Male,60+
D11,Caravan ,DAR'A,2013/01,Male,60+
D05,Tent ,DAR'A,2013/02,Male,60+
D10,Caravan ,DAR'A,2012/08,Male,60+
D10,Caravan ,DAR'A,2012/08,Female,60+
D11,Caravan ,DAR'A,2012/08,Female,60+
D03,Caravan ,DAR'A,2012/07,Male,60+
D03,Caravan ,DAR'A,2012/07,Female,60+
D03,Caravan ,DAR'A,2012/07,Female,60+
D03,Caravan ,DAR'A,2013/05,Male,60+
D03,Caravan ,DAR'A,2013/05,Female,60+
D04,Tent and caravan ,DAR'A,2013/05,Female,60+
D05,Tent ,RURAL DAMASCUS,2013/10,Female,60+
D12,Caravan ,DAR'A,2013/02,Male,60+
D09,Caravan ,DAR'A,2013/12,Female,60+
D01,Tent and caravan ,DAR'A,2013/11,Male,60+
D08,Tent and caravan ,RURAL DAMASCUS,2014/01,Male,60+
D08,Tent and caravan ,RURAL DAMASCUS,2014/01,Female,60+
D11,Caravan ,DAR'A,2013/04,Female,60+
D10,Caravan ,DAR'A,2013/01,Female,60+
D05,Tent ,DAR'A,2013/02,Male,60+
D01,Caravan ,DAR'A,2013/04,Male,60+
D01,Caravan ,DAR'A,2012/07,Female,60+
D08,Caravan ,RURAL DAMASCUS,2014/02,Female,60+
D08,Caravan ,RURAL DAMASCUS,2014/02,Female,60+
D04,Tent ,DAR'A,2012/11,Male,60+
D04,Tent ,DAR'A,2012/11,Female,60+
D07,Caravan ,RURAL DAMASCUS,2013/09,Male,60+
